aspect,sentence
location,"there's an onsite restaurant that serves breakfast and dinner, but you can also walk to old town for dining."
checkin,i would stay here again because the staff is superb!
location,location is its main advantage.
location,old town restaurants and shops are a two minute walk away.
"service, value","located right off freeway, so if you are driving it is good for that, easy to find and offers safe parking for $12 per night."
cleanliness,"i have stayed here 3 times now, for pure convenience but not for more than that -- used my husband's and my marriott points so maybe that's why we got rooms near the freeway (loud!)."
business service,"free internet access and coffeemaker in room, 1.50 for water bottles, small pool in shady section on entrance parking lot, strange small dimly lit bathroom, maybe some brighter colors and a renovation would make the hotel a bit more inviting."
location,"quite decent hotel very convenient for the old town which should not be missed, especially at night."
room,room was fine apart from not having a safe which would have saved us having to cart passports etc.
service,good breakfast.
checkin,made reservation for 3 nights.
location,hotel was really great.
room,requested room away from freeway so my room was very quiet.
cleanliness,looks like rooms and hotel recently renovated.
room,"furniture in room was new and the carpet, wallpaper, and bathroom looked brand new also."
business service,"room had large flat screen tv, minifridge, and free internet."
"business service, cleanliness","if you didn't bring your computer, there are 3 nice computers in lobby that you can use."
room,room was super clean.
service,hotel charges for parking but i received a special rate that included parking and breakfast (pays to be a mariott rewards member).
service,breakfast was ok. there is a buffet and your eggs and waffles are made to order.
"business service, cleanliness","if i didn't have free coupon, would probably have eaten elsewhere."
service,"in the evenings, there is a bar onsite so you can order drinks and food."
location,hotel is located 2 blocks from the outer edges of old town(near the whaley house).
location,definately a great place.
service,they do provide ear plugs - never a good sign.
cleanliness,our rooms were not too bad - on the side of the hotel towards the back the back.
cleanliness,there was audible background freeway noise when i didn't have the aircon fan on.
cleanliness,i didn't have a problem with it and have stayed in a lot nosier hotels.
"room, cleanliness",those with rooms overlooking the freeway may well have caused for complaint - watch your room selection.
location,the location is excellent a couple of blocks from old town and 5 mins walk from the trolley which takes you downtown.
location,with downtown hotels costing about double i'd recommend old town as a location to stay.
value,even the cab fare back late at night was only $16.
location,"old town itself is a pleasant location with plenty of bars, restaurants, etc."
cleanliness,"i didn't and the result was a $47 parking violation which, more or less, negated the street parking saving."
business service,"room was fine (standard courtyard), free internet worked and they had a couple of internet connected pcs in the lobby which took usb keys with printers attached."
"room, service, business service","the exercise room had two joggers, two bikes and a x-trainer and free weights all in good working order."
business service,a nice touch is the free wine and cheese most evenings around 5:00pm in the lobby.
location,didn't eat in the hotel as old town is just up the road and has great choices for both breakfast and evening meals.
location,its a better choice than the mission valley hotels due to the proximity of old town and the trolley.
room,"so, in summary, i'd stay there again but be sure to arrange a room away from the freeway."
cleanliness,i led a group and stayed here may 21-23 (six rooms.)
checkin,we felt very welcome and all were surprised at the friendliness of the staff.
"cleanliness, location","lobby is a little cramped, but sitting area is very nice, and rooms were great."
cleanliness,"halls, rooms, and bathrooms were clean, all well-kept."
service,"breakfast was good with cooked to order eggs, along with bacon, fruit, cereal, oatmeal, toast, bagels, biscuits and gravy, etc."
checkin,"desk staff continually helped answer questions every time, shuttle came to sante fe depot to pick us up five minutes after we called for advice on how to get there, and contrary to other reviews room/highway noise did not seem to be an issue."
value,i heard a train one time early in the night and if i listened i could hear a car on i-5.
cleanliness,didn't bother our sleep at all.
location,two blocks from old town and all the restaurants and shops there.
location,we recommend the old town mexican cafe - there was a huge crowd waiting at the crazy coyote (which i guess means they are good too) and we could not get in.
location,we were withing walking distance to the historic old town neighborhood.
checkin,"this hotel was very clean, and the staff was very friendly!"
location,the prime location directly next to hwy 5 meant it felt like you were sleeping on the hwy.
cleanliness,the rooms were no more impressive than a motel 6. i can't understand why you would stay here with so many other choices in the area.
location,the hotel is a two block stroll from old town for meals and touristy things.
cleanliness,nightime seemed sketchy (wouldn't walk alone) but we had no problems.
checkin,the staff was vey friendly and helpful.
room,very clean main room and bathroom too.
"room, cleanliness, location",pool was nice and hot tub was great (didn't know conference room overlooked pool area-hope there were no saturday meetings!)
location,great value and location.
location,"we (my wife, 1 yr old son, and i) stayed here over valentine's weekend."
location,the hotel is about 3 blocks away from old town.
location,"so, if that's the part of san diego that you'll be spending most of your time it's a fabulous location."
location,"however, you can take the trolley tour from old town and see many of the other popular tourist sites (which we did and we would recommend it for anyone looking for a quick overview of the city)."
"value, location","it's a 3-star hotel at best, but it's still a great place to stay for the value."
checkin,the employees were all very friendly and accommodating.
cleanliness,"even though the lobby was busy with people checking in, they were happy to answer my questions about the area and didn't rush me off."
cleanliness,the rooms are standard and unspectacular.
"room, cleanliness","but, it was clean."
cleanliness,"but, the noise didn't affect us at all."
cleanliness,we parked in the garage for our stay and from what we observed there weren't a lot of open spots on the street.
business service,the rooms have free wifi.
"service, location",they do have restaurant but we didn't try it (harney sushi down the street was great; cafe coyote had mediocre mexican food and poor service).
"service, cleanliness","the standard going rate for their rooms is a little high, but luckily we got a good deal for much less."
location,i just returned from a 3 day conference at the old town mariott courtyard.
room,i had a conference rate of $159 per night for a king room.
room,"the hotel is older so there is some room noise - i could hear the guy in the room next to me coughing, and doors slamming in the hallway, but the rooms have been updated and are very nice except for the trim around doors and floor."
"room, cleanliness","the bed was supremely comfortable: it had a clean duvet instead of the usually icky bedspread and tons of pillows, both down and foam."
"business service, location","there is a very nice desk area with a great workspace, desk lamp, outlets for computer and cell phone right on the desk."
checkin,this hotel had among the friendliest and most accomodating staff i have ever encountered!
business service,there was a free shuttle from the airport and a very courteous driver.
checkin,the front desk staff were very friendly and helpful.
value,"tuesday night there is a host by the fireplace off the lobby serving complimentary wine, and there was a nice spead of cheese and crackers."
value,wednesday night the hostess served cookies and hot cider.
location,i ate the in the hotel restaurant and our conference meals were catered by the hotel as well.
"room, service, checkin",room service was fast and again the server was very polite and friendly.
location,"the food was fine, but if i hadn't been alone i would have walked to old town for dinner instead."
location,"the hotel is a block away from old town, so if that is your destination in san diego, you can't beat this hotel."
location,it is easily the nicest hotel near old town.
"room, cleanliness, location","the pool area was very small and right in clear view of the conference rooms, lobby, hotel restaurant and parking lot."
"room, business service, cleanliness",i didn't use the pool because i would have had to swim in clear view of people sitting on the patio having business meetings and/or working on their laptops.
business service,i only saw one family while i was here - it was all business people so i probably wouldn't stay here during the week unless i was on business.
location,"spent seven great days in the courtyard old town san diego, from christmas day to new year's day and had a fabulous stay."
location,"the hotel is very centrally located to all that is san diego -- beaches, sea world, coronado, and, of course, old town, just to name a few areas!"
location,"in fact, it is within walking distance of all old town attractions, as well as the trolley that runs throughout san diego proper."
"service, cleanliness",the rooms are typical courtyard and predictable (which i consider a good thing).
service,"either way, these are not really good options to getting to the pool/hot tub area."
value,"as other reviewers have mentioned, the parking is $12 per night if you choose to park with the hotel."
value,"however, street parking is typically not an issue, so i opted to park on the street and never failed to find a spot, regardless of the time of day or night."
location,"this property obviously did begin as a courtyard, as is readily apparent upon arrival, but it does fit the old town look and feel."
value,"this particular neighborhood does seem a bit questionable at night, but i never encountered any problems, but on a few occasions there were older men just roaming around on the streets surrounding the property."
room,"security does seem adequate at the hotel, as there was always a night guard on duty and the doors only accessible with a room key after 10 p.m. bottom line...i would not hesitate to stay at this property again, but as many others have stressed, please request a room facing away from interstate 5 -- quite busy and noisy if you are placed in one of those rooms."
location,location was great.
location,"we spent the day walking around balboa, then took a short drive to our hotel and walked around old town san diego, and crawled back to the room after a few bar visits."
location,"old town is two blocks away, easy to walk back and forth."
"value, location",at night we took a taxi to canes restaurant which is in mission beach.
cleanliness,"we had a car, but we were drinking and didn't want to worry about driving."
"room, cleanliness","rooms were clean and comfy, nice big tv, comfy bed."
room,"not much luxury, just a basic room, but very clean and delightful."
location,qualcom stadium was a short 10 minute drive from here.
value,"not too sure how much she paid for it, but i do know she booked it using hotwire (i tought her well)."
location,it's pretty much a standard marriot courtyard located in old town.
location,"if you enjoy the courtyard, this is pretty much like most.. not a great bargain, but not bad either."
cleanliness,the beds are very comfortable!
room,"we had a room facing the town side, so i can't comment on any noise from the i-5."
checkin,staff was uniformly helpful.
cleanliness,this hotel was comfortable and clean.
"room, cleanliness",the only problem was that they didn't clean the room when we went out.
location,after i read the reviews this place sounded great.
location,it is with in 2 blocks of old town and shopping.
service,"i ate in the hotel restrant once for breakfast and it was not very good, i waited 30 min for french toast, i would not eat there again, the beds were very comfortable nice to sleep in."
"room, value",yes we also had a freeway view we just keep the vent on all night and we did not hear the freeway at all.
room,"when my husband booked our room a month in advance, he asked that we be placed in a room that was not on the freeway side."
room,so what room did they give us?
location,i enjoy the courtyard san diego old town.
location,"it is not a five star hotel, but a great basic hotel."
location,"it does not posses great cuisine, but great location to old town."
cleanliness,"you are kept away from the hustle and bustle of san diego and rather in a quaint, comfortable, tourist area."
location,"surrounded by great mexican cusine, and a relaxing nightlife."
service,"no, nothing crazy, nothing exceptional, just status quo in a good way."
location,"it's what you expect from a courtyard, but with a great enviornment."
location,"i come back for it is quiet, walking distance to some great enchilada's, and a walk home after a couple cold beers."
location,"ok, so it was not the best hotel in san diego, but it sure has a great location."
"room, cleanliness","our room was typical of a marriott courtyard, very comfortable and clean."
checkin,the staff were very friendly and helpful.
location,we were within walking distance of all the pubs and restaurants of olde town.
service,we had breakfast one morning and it was very good - buffet style.
room,"one small complaint - the bathroom area in the room is a bit cramped - ok for a single person staying in the room but not really large enough to cater for 2 people's toothbrushes, lotions and such like."
location,i would recommend this hotel for location and comfort.
value,not bad for it's price as hotels in san diego can be very expensive.
location,the big plus is the short walk to the sights and eateries in old town - love that cafe coyote!
cleanliness,"it is right alongside 'the' i-5, so you may want to opt for the quieter side street rooms."
"service, cleanliness",the open-air breakfast area is nice if it isn't too chilly outside.
checkin,"oddly enough, one of the memorable parts of our trip involved the cleaning staff."
value,i paid $189 for a room that definetly wasn't worth it!
room,"it's a standard marriott courtyard room, just like you would expect anywhere else...just a little pricier!"
location,"it's all about location, location, location."
location,"indeed, this is a great spot to stay in."
checkin,the staff was very nice and accomodating i must say.
location,"i traveled to san diego for a wedding, and decided on this courtyard hotel based on it's location, and i was very happy with my decision!"
location,"old town is the complete opposite - just in walking distance there are so many nice restaurants (el agave) and cute luncheons (the livingroom cafe), plus many shops and a replica of historical mexico."
"room, cleanliness","it's inexpensive, very clean, and runs all hours of the day."
location,"the hotels ammenities are great, as well."
cleanliness,"the rooms are not very large, but they are clean and well stocked with necessities."
"service, location","the hotel has a restaurant on the lobby level that serves food all day long, and it's quite tasty and moderately priced."
checkin,"the hotel staff is very friendly, and available 24/7."
service,"they have a small food and beverage shop that is open all the time, in lieu of vending machines and with a much better selection."
value,"overall, the only downside to this hotel is the price."
value,"if you are staying during the week, obviously the prices will be considerately lower, but the average weekend night will run $200+."
"cleanliness, location","but if you are in need of a comfortable and clean hotel in a great location, this is defintely the place to host your san diego stay."
location,we stayed here for 2 nights and had a great time.
location,"the location was great - close to airport, walk to restuarants and trolley."
checkin,the staff members were extremely friendly and helpful.
cleanliness,"the hotel was very clean and the rooms were clean, bed comfortable and spacious."
location,"in old town, if you like tequila, el agave has a huge selection and excellent margaritas."
service,"also, the food at cafe coyote was extremely good."
location,"overall, we liked old town and the hotel was perfect."
room,checked in at 8:30pm and got a handicap room facing the highway traffic (highway is less than 100 yards away from window).
checkin,i went down to the front desk and spoke personnally to the manager who was very friendly and said he could move me next day.
room,new room was on other side of hotel with standard room amenities.
value,"although the room was definitely not worth $189/night, it would be worth less if you got a deal on priceline (like the other reviewer who paid $65/night)."
room,"beds have no support (old), room is heated/cooled by a window/floor unit (no central heat or air), carpet appears new, room was clean and appears to have been recently updated."
room,exercise room is located off hotel in parking garage.
location,hotel is walking distance from old town.
"service, location","skip restaurant cafe coyote - food is tired mexican fare, not exciting."
room,with a family of four the room was very small and there was not a lot of room for our bags.
room,luckily we were facing the carpark and it was very quiet.
location,the only advantage to this hotel was it was very close to old town and to the lovely restaurants there.
location,stayed at the courtyard old town for 3 nights on a business trip on oct 15-18. got in to san diego around 11:30 a.m. but was not allowed to check in early.
checkin,"the hotel front desk was not friendly, curt, and appeared to care less."
checkin,"came back to check in at around 4 pm after ""killing time"" in the gaslamp area."
value,"the room, for the price paid ($239 a night +$25.00 tax) was small."
room,i asked for a room with a king bed but was told there was none available so i had to settle for a room with 2 queen beds.
business service,the hotel advertised high-speed internet but conveniently did not disclose that this was not wireless.
"service, business service","even with an ethernet cable, the high speed internet service was not reliable."
room,the hotel is located next to the freeway and i got a room facing it so it was pretty noisy once you turned your tv off to go to sleep.
"room, value, location","on my second night, i called the front desk for a wake up call at 5:15 a.m. but did not get the call until 5:30. on the positive side, the cleaning crew did an great job as the room and the bathroom were always spotless."
service,the hotel served breakfast a la carte and/or all you can eat breakfast for $10-12 depending on your choice.
service,"another positive note, breakfast was good although if your choice is continental breakfast, i think $8.95 is pretty steep since most other hotels provide that free."
value,"for the price paid for a three night stay, i could have probably gotten a better room and amenities in other san diego hotels."
room,"our room was a king suite, on the 3rd floor, one window facing the pool and one window facing the side street toward old town."
location,we did not hear any traffic noise.
room,"it was very quite and clean, the room was very spacious."
room,the king bed was very comfortable.
business service,"the internet connection was a little slow but not 15 minutes, more like 2 or 3. the lobby was nicely appointed, with a nice fireplace and big easy chairs, the wine and cheese hour was really nice."
service,"the restaurant was pretty good, we ate a late dinner and breakfast there and enjoyed both."
checkin,the front desk staff was very helpful and pleasant.
business service,"oh, and thanks for the free otis spunkmeyer cookies and seattles best coffee located just off the lobby, they hit the spot."
room,"my husband and i booked a room here for one night in oct. and just let me start by saying the young guy at the desk who checked us in was very, very nice, helpful, respectful and even upgraded us to a suite, we were coming back from a 4 day cruise to mexico and wanted to stay in old town san diego for a fifth night before flying back home to northern calif. i did look at this property online before booking and it seemed fine, however, interstate 5 runs right behind the property and even though we requested a room facing the front, we could still hear the noise all night long, in addition to that we were on a romantic trip and realized shortly after we got there that this is a very nice property for business executive's, not romance, our suite even had a conference table!"
"room, business service","like i said very nice property for business executive's, nice business room's & suite's, but not for quite romantic evening's"
room,"like many people say, the noise from i-5 freeway is pretty loud if you have a room that faces the road."
"service, business service, cleanliness","it took over 15 minutes just to access their high-speed internet service, which was more like slow-speed; even times were we couldn't log on due to their connection."
value,"the price was $189 plus tax per night, was not worth it, and no breakfast was offered with this room."
"service, location",typical great service with this chain.
cleanliness,rooms and hotel condition are also consistent with other properties.
location,"the hotel restaurant was decent for a quick meal - i would not say gourmet, but certainly acceptable and not overpriced for a hotel."
room,my room faced the pool so i cannot comment on freeway noise (though it is likely).
cleanliness,"the building has a spanish/mexican flair that fits in the neighbourhood, although the corridors and rooms look like any other courtyard."
"business service, value",i paid for the parking - this is business travel and i do not need to worry about finding parking.
cleanliness,i really don't care what it cost.
location,"a well maintained facility with brilliant staff who are highly attentive and professional great location for old town shops and resturants, and a place to take the ""hop on and off"" trolley tours."
"cleanliness, location","easy to find location alongside the north south freeway, though we would expect the freeway side rooms to be noisier than the one were in which overlooks the main entrance."
"service, value, location",secure underground parking from adjoining street and main driveway great breakfast selection and quality.
business service,"nice gym and small family pool good free internet facilities, including laser printer overall an ideal location base for exploring sunny san diego"
value,we thought this was a nice hotel for the price we paid with priceline.
service,"the breakfast buffet was pricey, but great food with good selection."
location,we had no problems with noise from the freeway traffic because we were in the building across from the lobby.
checkin,the front desk staff was very friendly and we liked the internet access available in the lobby.
service,convenient shuttle service from the airport too!
location,"the best thing about the courtyard old town is its location, on the edge of old town san diego."
location,"once you figure out where it is, it's easy to get from the hotel to anything in old town."
location,"and because old town is served by san diego's trolleys, it's easy to get to many other places in the city."
location,the hotel is crammed onto a small space -- land is at a premium in old town.
business service,you can park in their garage for $15 or compete for a small number of free spaces in a tiny lot or go for on-street parking.
checkin,the front desk was most helpful with directions.
service,"we did not try the restaurant for breakfast, but it looked like the same sort of buffet spread available in lots of hotels."
cleanliness,"the rooms are comfortable, although the layout s somewhat old."
room,the room was very clean.
cleanliness,"we found our bed to be really dirty, i won't mention to what we found."
room,we did request a room to be away from the freeway which helped on the noise.
service,"however ther eis no breakfast their resturant is over priced, internet service was down the whole time."
room,we heard everything the people next our room was doing.
value,stay down the street for the same price at the holiday inn.
room,"did not book, turned up on the doorstep and got a room."
value,we knew it would be expensive $190 per night.
service,but what the heck we were on holiday.and  for $$ good for us.
room,"nice room, big bed and even bigger chair facing into town, not the i-5.nice and quiet."
service,"breakfast included, full hot cooked to order."
location,"a nice walk to old town park,shops and restaurants."
checkin,tip use the trolly $30 p/p get on and off all day excellent thank you cameron for your help.
location,my husband and i just returned home from spending two nights at the old town courtyard by marriott in san diego.
cleanliness,we usually find this chain to provide a fair and comfortable facility.
"room, cleanliness, location","not only is the facility old and somewhat rundown, it is uncomfortable (except for the bed) with the rooms being unusually small and inconvenient.....especially the bathrooms...and noisy."
service,there is no included breakfast and the internet service in the lobby is only available at a very excessive cost.
"checkin, location",this hotel is close to old town and the staff is friendly and the manager was very accomodating.
"service, checkin","the breakfast staff polite but when i'm given a hand-written receipt of my meal with total:, tax:, tip: all hand written on a register paper i get a little suspicious."
room,my first room was facing an onramp of i-5 and after the second motorcycle roared on the ramp and onto i-5 i looked outside and the highway was 30 feet from the building.
"room, cleanliness",i just felt so sorry for later arrivals facing the back rooms.
location,if i went back to old town i'd stay in the holiday inn express up the street.
cleanliness,i don't know about the rooms there but i don't think any of their rooms are on the highway.
cleanliness,"the hotel is new looking and attractive, but the rooms are small and noisy, if you're unfortunate enough to have one of the rooms that are directly facing the freeway."
value,"yes, i could have asked for another room, but once you get settled in at night with 2 small kids, trust me, its not worth it."
cleanliness,"i didn't want to pay the $15 parking fee, so i parked on the street."
location,$15 doesn't seem warranted in that part of old town.
value,i found street parking at 6 p.m. friday night.
cleanliness,pros: the rooms are clean and look new.
checkin,the staff is friendly and helpful.
room,cons: our room was facing the freeway.
value,"i ran the fan all night hoping it would mask some of the noise, but was woken up several times by noisy vehicles."
cleanliness,very small rooms.
service,"for adults, but not good for families with kids!"
location,"even though the nearby best western hacienda is older, dated, and has a confusing layout i would choose it because of the bigger rooms and better location within old town."
room,if you do decide to stay here make sure you request a room away from the freeway.
checkin,we did not have a reservation but the staff was friendly and helpful as they rearranged other shorter stays to accomodate us.
room,the room was excellent.
room,it was clean and neat with a king bed.
room,our room overlooked the pool.
room,try to get a room away from the highway.
service,the hotel restaurant had an excellent breakfast buffet.
location,the location was great for exploring old town and central for the whole city with easy highway connections and it's not too far from the trolley.
room,recently stayed for two nights at the courtyard... initially booked into a room overlooking the freeway - the noise was as if the windows were open.
"cleanliness, value",complained in the middle of the night because i just couldn't sleep.
room,promised that our room would be changed for a quieter one the following day.
room,we had a problem at the beginning with workmen already staying in our room.
checkin,the front desk girl forgot to properly check them in so we got a surprise when we opened the door.
room,he quickly put us in another room and did not charge us the $15 per day parking fee.
room,the room and bed were very clean and comfortable.
room,the first day we asked to have the room cleaned by 3 pm so we could take a nap and it was cleaned.
room,the second day we forgot to ask and the maid came in just as we got back in the room.
cleanliness,she apologized for being late but said she had lots of rooms to clean.
service,we ate the breakfast buffet all 3 mornings and it was very good!
"service, checkin, location",an excellent experience with a good location and excellent staff.
location,"the location in old town is not only a good site for exploring old town, but it is minutes by car from the airport and downtown san diego."
room,it is next to interstate 5 and it is advisable to request a room facing away from the highway.
checkin,the staff is excellent.
checkin,"the general manager, mr. stringfield, is cheerful and always ready to give helpful advice on sightseeing and restaurants (he enjoys fine dining)."
room,"we requested a refrigerator and down pillows, and they were in the room when we arrived."
checkin,the staff at the front desk was helpful and gracious.
service,although we ate out most of the time (our son lives in san diego) the food in the cafe seemed attractive.
room,"looks exactly as pictured we had room w/2 queen beds(yes queen) very clean,beds comfy, shower fine, not much room on bathroom counter you could move the coffee pot."
checkin,everyone very nice and friendly.
location,old town is a 5 minute walk.
service,coyote cantina very good food.
service,did not eat at hotel(rickys at hotel circle very good breakfast and lunch) would stay again.
